itemnumber,checkouts,biblionumber,itemcallnumber,author,title
272538,1,185492,PZ7.L57833 Hen 2007,"Levine, Ellen",Henry's freedom box /
272555,1,185508,PN1992.77 .T826 2008,,The Tudors.
272556,1,185508,PN1992.77 .T826 2008,,The Tudors.
272558,1,185510,PN1992.77 .R6532 2007,,Rome.
272559,1,185511,PN1997 .E4491 2008,,"Elizabeth, the golden age"
272568,1,185519,PN1992.77 .S66737 2003,,The Sopranos
272580,1,185531,BD241 .P65 2002,"Popper, Karl Raimund,",Conjectures and refutations :
272582,1,185533,PS3515.U789 Z824 2007,"Plant, Deborah G.,",Zora Neale Hurston :
272595,1,185546,PN1995.9.F6723 W36 2005,,Wan zhu
272596,1,185547,PN1995.9.F6723 H66 1987,,Hong gao liang
272597,1,185548,PN1995.9.F6723 X55 2000,,Xi zao
272599,1,185550,CT9971.M38 K73 1997,"Krakauer, Jon",Into the wild /
272626,1,185574,BS2341.52 .T78 2007,,True to our native land :
272634,1,185582,PS3568.Y3977 W4 2008,"Rybicki, John,",We bed down into water :
